dataset id,dataset name,total views,recent views (last 2 weeks)
33a2ef5c-72a3-422c-85ab-1ecb3dfb5821,72fb014f-c481-4ca4-8fc0-c52ed1b89151,6,1
29d7ce96-595c-4ce1-8eaf-089a8b9f129f,39f7a8e3-8df1-4440-9873-3d36344b6bf7,6,0
2a44e397-9b03-4f26-8a9e-77e42b63909b,44ada549-a3c4-40cd-9fc7-eaf6d4a55f91,6,1
b4d92caa-6209-4522-a681-428172087a1d,29140467-5x7c-4x7x-262qvfq311on71,6,0
f9aecdad-6df0-484e-b18a-1e27dfc896c5,a91a22ed-261b-472b-aeee-2a653ad47331,6,0
438de4c7-a834-4c91-acfd-cbb49bced193,86a5fc33-ccbf-4038-ae73-cb3dbb00c3bd,6,0
743306c5-51c7-4702-a5ff-f2e58890f4aa,80347126-8o4h-4e3s-995ptqy544hb20,6,0
b8b55c31-ffa4-4010-b833-c8be50c42952,0bf3a31e-37f1-4cfc-94b4-0b73a9097618,6,0
42c4b729-f6fa-4321-96e8-32d8feef760b,f813a44d-4cca-4647-a576-41312d8578c5,6,0
91048d0c-90ff-4d0c-beea-593ddb49f2ee,f1607228-1038-47ad-a229-f4f0ef61a949,5,0
fcbcacbb-78f4-4319-8987-0386ceaf399c,b586b5bb-aef1-416f-8c79-bd7e6e18547d,5,1
e97832c4-00dd-44e7-bda5-6a5f5437ae75,54320620-f27d-41c6-91a0-fb35093ca38e,5,1
5addce77-2023-43e2-93ea-7a70222ab482,ef3c71e6-e163-44fe-9eb2-8f1f9f6ec47e,5,0
d079e738-ccf6-40c5-ba55-b8e2b461cef3,5ffbcbbc-6815-4b58-a9a3-e179dfb49a3c,5,0
8dde7c4f-4f33-4519-9392-df901610fca1,a19446d3-2f74-4aea-85d3-33ed21d54850,5,0
fe98f810-6c1b-4895-a77e-340c02057707,78188742-7k5i-7v6g-250rdtz782gr53,4,0
08b13a1d-98fd-4374-b131-931116a15709,2148d735-b376-48fe-94b5-0dfb1aa9971f,4,1
7cdcbc5e-7848-4bfa-8baa-7d8ceb21a31b,398abcd8-7c9e-4aea-b162-9841abd47b32,4,0
4496e482-e114-4f3b-a8c5-6e56d36265f2,d42448d1-cbb2-44b5-b8e9-eb5ac4c6df73,4,0
9f86ef57-dba2-4520-83e3-b430d1f87a95,a9401ad4-6729-4738-aa48-74ca93837edd,4,0
73cf04f5-c29d-4ded-ab58-ffdc7251a988,32605578-0d51-44e7-bc5c-c15c9885923a,4,0
ecfed58e-a784-4051-afe9-5e01c9c6fbcb,74457838-3n4t-0e8g-936jsra781ig15,4,0
8eaa2320-8ad0-4e50-a184-70efcb88f2a5,e4369077-832c-443d-a287-a1ee10c0fc45,4,1
59dea4b9-79e9-423b-9462-b63db2f20176,13a8ed5c-7774-44f5-a415-5e270d03b504,4,0
721c86d0-ed3d-402d-9fd0-081d3ae351dd,5d094c40-ea63-4c44-ad23-79e17bc24779,4,0
dd942c22-c62c-4e33-a756-21b81497a47e,109ee741-d1bd-4220-9c51-5fddb49e2b68,3,0
6cc3d863-7746-4431-abac-3e1adce6ad1e,4a915545-5825-4676-9355-6e82bb8f2a68,2,0
fc007398-1edd-4fc0-832e-b42c90d1fd8b,2905464-1h3g-7b8y-143bajr942bd54,1,0
653e0d30-2b4b-4a65-8155-ca948cfc5d7f,89961814-1a7r-1v8f-106tknl638um90,1,0
6c556399-4057-49e4-a9fc-f5fb0f34df21,test_nf,1,0
1fc4325e-94a7-4c66-9952-08765278dafc,9074141-0r7k-8z1j-374ixxf438hl21,0,0
3c26e48f-9eb9-48c8-afb1-94b0092ddf8c,31176440-3l6t-2p5b-275kdcv216oh23,0,0
c3faa0d2-e308-4566-9083-b815ca80754b,81435194-2r1p-4u5h-248alax762oe17,0,0
71a0244d-e9b0-428c-a000-dbd6d3dfdb16,68372607-2q7i-9c1d-164jxqj861et49,0,0
3b025778-0987-4b91-b6e8-85d328564246,38762504-5k9o-4b9h-177cmrn796ru74,0,0
51dd1b10-01be-401c-adae-56e3bd87fac3,77594819-7u1m-6e4y-924kzdv396ga22,0,0
26181ecf-96e1-4343-bac8-8529b214c60d,49904812-7g4i-0z0a-436zjek363qt21,0,0
4b94af23-cc4a-4521-81c2-7b11be18f761,60495674-1e8b-9r6l-999oxqb804nu10,0,0
abf3a083-009e-4932-b629-89f373193aa2,35205527-9p1a-1z0e-759dnfv989ie40,0,0
e7b69769-2f63-4349-8631-43249a933f51,45882750-2s1z-0l2p-145eael994pd92,0,0
c66dc83e-26cc-4377-9c39-7056580b53c9,3302577-0z9l-1d0f-460flkc704zy16,0,0
c96469eb-836e-429c-9e77-55013c30218c,13732399-8x3q-8v2x-697ojyt852eh36,0,0
555ca3db-e15a-4a70-a389-e380176f4ea2,17615125-8w7r-9f2w-740pjdd473yg23,0,0
